phase,net_mean_J,std,count,sem,net_ci_J
delete_high_size5000,41.3669999967,0.6552061583,10,0.2071943797,0.4687062502
update_high_size5000,41.0478999972,0.4218465882,10,0.1333996042,0.3017708701
query_high_size5000,24.9039999969,17.6836284987,19,4.0569026095,8.5232361075
create_high_size5000,21.6624498968,17.8179680413,20,3.9842187761,8.3390657365
query_medium_size5000,16.1662666072,18.5754418629,30,3.3913961747,6.9361839846
query_high_size1000,16.1356999889,18.5845871699,30,3.3930658716,6.9395988984
update_medium_size5000,16.0484666377,18.4066060429,30,3.3605711123,6.8731396533
update_low_size5000,16.0354999936,18.4242870528,30,3.3637992083,6.8797418509
query_low_size5000,16.0323999479,18.5148967748,30,3.3803422045,6.9135760771
delete_low_size5000,16.0214666218,18.3677862062,30,3.3534836122,6.8586440881
delete_medium_size5000,16.0097666357,18.3856311379,30,3.3567416361,6.8653074951
update_high_size1000,15.9988999805,18.3955328648,30,3.3585494358,6.8690048607
delete_high_size1000,15.9969666202,18.3544294613,30,3.3510450154,6.8536565975
create_medium_size5000,14.4881945737,17.8346983558,30,3.2561555319,6.6595858133
create_low_size5000,14.3125999101,17.8802931223,30,3.2644799593,6.6766111789
create_high_size1000,13.6534990873,17.7419321132,34,3.0427162551,6.1904527668
update_medium_size1000,12.0691749753,17.4265854014,40,2.7553850854,5.5732923934
delete_low_size1000,12.0189249522,17.3517588624,40,2.7435539708,5.5493617053
query_medium_size1000,12.0160998994,17.3291344142,40,2.7399767314,5.5421260557
delete_medium_size1000,11.9952249325,17.3099518154,40,2.7369436962,5.5359911630
create_medium_size1000,11.6799954638,16.9827130990,40,2.6852027121,5.4313351442
update_low_size1000,11.6231395104,16.7223540831,43,2.5501350903,5.1463809654
create_high_size100,11.4855740618,16.4818003952,170,1.2640963856,2.4954532404
query_low_size1000,10.9219599456,15.5693822289,50,2.2018431506,4.4247694715
delete_medium_size100,10.4715578594,16.2078647162,190,1.1758420917,2.3194603238
create_low_size1000,10.3496922700,15.1843807869,52,2.1056947505,4.2273586064
update_high_size100,10.3040166432,14.4193653274,60,1.8615320592,3.7249170466
delete_high_size100,10.2293832970,14.2276105234,60,1.8367766204,3.6753815281
create_low_size100,10.1950917852,15.9232597797,293,0.9302467690,1.8308385799
create_medium_size100,10.1403532930,16.1379282152,240,1.0416987870,2.0520834896
update_medium_size100,10.0977683861,15.4928847945,190,1.1239719964,2.2171416292
query_high_size100,9.9366818067,13.6448023820,66,1.6795590693,3.3543110867
delete_low_size100,9.4847192010,15.7590714177,260,0.9773361203,1.9245366251
update_low_size100,9.1458555314,15.5918945624,270,0.9488924851,1.8682003758
query_low_size100,9.0074629285,15.3366940778,270,0.9333614782,1.8376225881
query_medium_size100,4.0161390943,9.0339220744,204,0.6325010581,1.2471142579
import_isolated_size100,0.3955728974,0.6683338864,630,0.0266270594,0.0522886915
import_isolated_size5000,0.3852776507,0.5575651134,630,0.0222139258,0.0436224330
import_isolated_size1000,0.3842268652,0.5548594769,630,0.0221061307,0.0434107511
query_agri_inference,0.2553212307,0.4721830174,450,0.0222589209,0.0437445996
import_connected_1000,0.2246436497,0.4331251812,480,0.0197693693,0.0388454043
traverse_full_graph,0.0059997890,0.0070558896,340,0.0003826593,0.0007526857
query_hop_3,0.0058285482,0.0068791520,350,0.0003677061,0.0007231988
query_hop_2,0.0057742625,0.0070212717,350,0.0003753028,0.0007381397
query_simple,0.0056588009,0.0070952921,340,0.0003847962,0.0007568890
query_hop_1,0.0055285498,0.0069889667,350,0.0003735760,0.0007347435
query_hop_4,0.0054342642,0.0068958494,350,0.0003685987,0.0007249541
update_1000,0.0052440494,0.0068361462,340,0.0003707421,0.0007292447
delete_1000,0.0050940952,0.0065677555,340,0.0003561866,0.0007006141
query_hop_5,0.0045685519,0.0066401075,350,0.0003549287,0.0006980682
